"branca","nota","id","descrizione","tariffa"
"ANESTESIA","H",05.21.01,"INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA 
Blocco del Ganglio di Gasser e dei suoi rami  
Escluso: le anestesie per intervento","51,65"
"ANESTESIA","Hm1",05.21.02,"INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA
Blocco degli intercostali
Escluso: le anestesie per intervento","17,05"
"ORTOPEDIA E TRAUMATOLOGIA","I H m1",44301,"LIBERAZIONE DEL TUNNEL CARPALE
La tariffa è comprensiva di visite ed esami pre e post intervento",665
"ANESTESIA","H",05.31.00,"INIEZIONE DI ANESTETICO NEI NERVI SIMPATICI PER ANALGESIA
Blocco simpatico regionale arto superiore o inferiore 
Blocco del Ganglio celiaco  
Blocco del Ganglio stellato  
Blocco del simpatico lombare","77,45"
"NEUROCHIRURGIA","H",05.31.00,"INIEZIONE DI ANESTETICO NEI NERVI SIMPATICI PER ANALGESIA
Blocco simpatico regionale arto superiore o inferiore 
Blocco del Ganglio celiaco  
Blocco del Ganglio stellato  
Blocco del simpatico lombare","77,45"
"ANESTESIA","H",05.32.00,"INIEZIONE DI AGENTI NEUROLITICI NEI NERVI SIMPATICI","129,1"
"NEUROCHIRURGIA","H",05.32.00,"INIEZIONE DI AGENTI NEUROLITICI NEI NERVI SIMPATICI","129,1"
"DIAGNOSTICA PER IMMAGINI: RADIOLOGIA DIAGNOSTICA",,06.01.00,"ASPIRAZIONE NELLA REGIONE TIROIDEA
Drenaggio eco-guidato percutaneo  della regione tiroidea 
Alcolizzazione noduli tiroidei","61,45"
"CHIRURGIA GENERALE",,06.01.00,"ASPIRAZIONE NELLA REGIONE TIROIDEA
Drenaggio eco-guidato percutaneo  della regione tiroidea 
Alcolizzazione noduli tiroidei","61,45"
"CHIRURGIA GENERALE",,06.11.01,"BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE
Biopsia di materiale agoaspirato della tiroide","43,4"
"ENDOCRINOLOGIA",,06.11.01,"BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE
Biopsia di materiale agoaspirato della tiroide","43,4"
"CHIRURGIA GENERALE",,06.11.02,"BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE
Biopsia eco-guidata di materiale agoaspirato della tiroide","61,45"
"ENDOCRINOLOGIA",,06.11.02,"BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE
Biopsia eco-guidata di materiale agoaspirato della tiroide","61,45"
"DIAGNOSTICA PER IMMAGINI: RADIOLOGIA DIAGNOSTICA",,06.11.02,"BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE
Biopsia eco-guidata di materiale agoaspirato della tiroide","61,45"
"CHIRURGIA GENERALE","H",06.13.00,"BIOPSIA DELLE PARATIROIDI","67,15"
"ENDOCRINOLOGIA","I ",07.38.01,"ALCOLIZZAZIONE ECOGUIDATA DEI NODULI TIROIDEI ","67,8"
"CHIRURGIA GENERALE","I ",07.38.01,"ALCOLIZZAZIONE ECOGUIDATA DEI NODULI TIROIDEI","67,8"
"OCULISTICA","m1",08.01.00,"INCISIONE DEL MARGINE PALPEBRALE
Incluso: Incisione di ascesso palpebrale","16,35"
"OCULISTICA","m1",08.02.00,"APERTURA DI BLEFARORRAFIA","16,35"
"OCULISTICA","m1",08.09.00,"ALTRA INCISIONE DELLA PALBEBRA
Riapertura anchiloblefaron","16,35"
"OCULISTICA","m1",08.11.00,"BIOPSIA DELLA PALPEBRA","16,35"
"OCULISTICA","m1",08.21.00,"ASPORTAZIONE DI CALAZIO","32,7"
"OCULISTICA","m1",08.22.00,"ASPORTAZIONE DI ALTRA LESIONE MINORE DELLA PALPEBRA
Asportazione di verruca, papilloma, cisti, porro, condiloma","32,7"
"OCULISTICA","m1",08.23.00,"ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, NON A TUTTO SPESSORE
Asportazione che include un quarto o più del margine palpebrale a spessore parziale  
Xantelasma","32,7"
"OCULISTICA",,08.24.00,"ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, A TUTTO SPESSORE
Asportazione che include un quarto o più del margine palpebrale a tutto spessore  
Resezione a cuneo della palpebra","45,45"
"OCULISTICA","m1",08.25.00,"DEMOLIZIONE DI LESIONE DELLA PALPEBRA
Intervento per  blefarocalasi","35,5"
"OCULISTICA",,08.41.00,"RIPARAZIONE DI ENTROPION O ECTROPION CON TERMOCOAGULAZIONE","40,9"
"OCULISTICA",,08.42.00,"RIPARAZIONE DI ENTROPION O ECTROPION CON TECNICA DI SUTURA","40,9"
"OCULISTICA",,08.43.00,"RIPARAZIONE DI ENTROPION O ECTROPION CON RESEZIONE CUNEIFORME","68,15"
"OCULISTICA","H",08.44.00,"RIPARAZIONE DI ENTROPION O ECTROPION CON RICOSTRUZIONE DELLA PALPEBRA
Riparazione di ectropion con innesto o lembo","154,95"
"OCULISTICA",,08.52.00,"BLEFARORRAFIA
Cantorrafia, Tarsorrafia","40,9"
"OCULISTICA","H",08.06.00,"RICOSTRUZIONE DELLA PALPEBRA CON LEMBO O INNESTO
Escluso: quelle associate con riparazione di entropion o ectropion (08.44)","309,85"
"OCULISTICA","IH",09.12.00,"RICOSTRUZIONE DELLA PALPEBRA  NON A TUTTO SPESSORE. Escluso: RIPARAZIONE DI ENTROPION O ECTROPION CON RICOSTRUZIONE DELLA PALPEBRA (08.44), RICOSTRUZIONE DELLA PALPEBRA CON LEMBO O INNESTO (08.6)",1100
"OCULISTICA","IH",09.14.00,"RICOSTRUZIONE DELLA PALPEBRA  A TUTTO SPESSORE. Escluso: RIPARAZIONE DI ENTROPION O ECTROPION CON RICOSTRUZIONE DELLA PALPEBRA (08.44), RICOSTRUZIONE DELLA PALPEBRA CON LEMBO O INNESTO (08.6)",1100
"OCULISTICA","m1",09.21.00,"RIPARAZIONE LINEARE DI LACERAZIONE DELLA PALPEBRA E DELLE SOPRACCIGLIA","35,5"
"OCULISTICA","m1",09.22.00,"RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA INTERESSANTE IL MARGINE PALPEBRALE,  NON A TUTTO SPESSORE","35,5"
"OCULISTICA","m1",09.23.00,"ALTRA RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA, NON A TUTTO SPESSORE","35,5"
"OCULISTICA",,09.24.00,"RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA INTERESSANTE IL MARGINE PALPEBRALE,  A TUTTO SPESSORE","68,15"
"OCULISTICA","m1",09.31.00,"DEPILAZIONE ELETTROCHIRURGICA DELLA PALPEBRA","27,2"
"OCULISTICA","m1",09.32.00,"DEPILAZIONE CRIOCHIRURGICA DELLA PALPEBRA","27,2"
"OCULISTICA","m1",09.39.01,"INFILTRAZIONE DI ANGIOMA PALPEBRALE","16,35"
"OCULISTICA","m1",09.00.00,"INCISIONE DELLA GHIANDOLA LACRIMALE
Incisione di cisti lacrimale (con drenaggio)","35,5"
"OCULISTICA",,09.11.00,"BIOPSIA DELLA GHIANDOLA LACRIMALE","56,8"
"OCULISTICA",,09.12.00,"BIOPSIA DEL SACCO LACRIMALE","40,9"
"OCULISTICA",,09.19.00,"ALTRE PROCEDURE DIAGNOSTICHE SULL'APPARATO LACRIMALE
Test di Schirmer  
Escluso: Dacriocistogramma per contrasto (87.05), Rx del tessuto molle del dotto naso-lacrimale","40,9"
"OCULISTICA","as",09.19.00,"Analisi della superficie oculare[test di Schirmer, break up time (BUT), esame con coloranti]","40,9"
"OCULISTICA",,09.21.00,"ASPORTAZIONE DI LESIONE DELLA GHIANDOLA LACRIMALE
Escluso: Biopsia della ghiandola lacrimale (09.11)","56,8"
"OCULISTICA","m1",09.41.00,"SPECILLAZIONE DEL PUNTO LACRIMALE","16,35"
"OCULISTICA","m1",09.42.00,"SPECILLAZIONE DEI CANALICOLI LACRIMALI
Incluso: Rimozione di calcolo, dilatazione  
(Per ciclo terapeutico)","19,05"
"OCULISTICA","m1",09.43.00,"SPECILLAZIONE DEL DOTTO NASO-LACRIMALE
Incluso: Rimozione di calcolo, dilatazione  
(Per ciclo terapeutico)",70
"OCULISTICA","m1",09.51.00,"INCISIONE DEL PUNTO LACRIMALE","35,5"
"OCULISTICA","m1",09.52.00,"INCISIONE DEI CANALICOLI LACRIMALI","35,5"
"OCULISTICA","m1",09.53.00,"INCISIONE DEL SACCO LACRIMALE","35,5"
"OCULISTICA","m1",09.59.00,"ALTRA INCISIONE DELLE VIE LACRIMALI
Incisione (drenaggio) di dotto nasolacrimale NAS","35,5"
"OCULISTICA","H",09.06.00,"ASPORTAZIONE DEL SACCO E DELLE VIE LACRIMALI
Escluso: Biopsia del sacco lacrimale (09.12)","258,25"
"OCULISTICA",,10.11.00,"CORREZIONE DI EVERSIONE DEL PUNTO LACRIMALE","56,8"
"OCULISTICA","H",10.13.00,"RIPARAZIONE DEI CANALICOLI","206,6"
"OCULISTICA","m1",10.21.00,"BIOPSIA DELLA CONGIUNTIVA","19,05"
"OCULISTICA","m1",10.31.00,"ASPORTAZIONE DI LESIONE O TESSUTO DELLA CONGIUNTIVA
Asportazione di anello congiuntivale attorno alla cornea 
Escluso: Biopsia della congiuntiva (10.21)","32,7"
"OCULISTICA","m1",10.32.00,"DEMOLIZIONE DI  LESIONE DELLA CONGIUNTIVA
Escluso: Asportazione di lesione (10.31), Termocauterizzazione per entropion (08.41)","32,7"
"OCULISTICA","m1",10.33.00,"ALTRI INTERVENTI DI DEMOLIZIONE DELLA CONGIUNTIVA
Rimozione di follicoli di tracoma","32,7"
"OCULISTICA",,10.04.00,"CONGIUNTIVOPLASTICA","90,9"
"OCULISTICA",,10.06.00,"RIPARAZIONE DI LACERAZIONE DELLA CONGIUNTIVA","45,45"
"OCULISTICA","m1",11.31.00,"INIEZIONE SOTTOCONGIUNTIVALE","13,6"
"OCULISTICA",,11.31.00,"TRASPOSIZIONE DELLO PTERIGIUM","56,8"
"OCULISTICA",,11.32.00,"ASPORTAZIONE DELLO PTERIGIUM CON INNESTO DELLA CORNEA","90,9"
"OCULISTICA",,11.39.00,"ALTRA ASPORTAZIONE DELLO PTERIGIUM","56,8"
"OCULISTICA","m1",11.42.00,"TERMOCAUTERIZZAZIONE DI LESIONI DELLA CORNEA","27,2"
"OCULISTICA","m1",11.43.00,"CRIOTERAPIA DI LESIONE DELLA CORNEA","29,5"
"OCULISTICA",,12.15.01,"CHERATOTOMIA ARCIFORME","289,2"
"OCULISTICA","m1",12.31.00,"TATUAGGIO DELLA CORNEA","35,5"
"OCULISTICA","m1",12.39.01,"APPLICAZIONE TERAPEUTICA DI LENTE A CONTATTO","19,05"
"OCULISTICA","m1 **",12.39.02,"CORREZIONE DEI VIZI DI REFRAZIONE
Con laser a eccimeri (PRK) con tecnica di ablazione standard o superficiale","382,2"
"OCULISTICA","m1",12.39.03,"CORREZIONE DI ALTERAZIONI CORNEALI
Con laser a eccimeri (PTK)","382,2"
"OCULISTICA","I **",119904,"CORREZIONE DEI VIZI DI REFRAZIONE
Con laser ed eccimeri con tecnica LASIK o lamellare","485,45"
"OCULISTICA",,12.14.00,"IRIDECTOMIA
Iridectomia (basale) (periferica) (totale) (iridectomia mediante laser)  
Escluso: Iridectomia associata a: estrazione di cataratta (13.64), rimozione di lesione (12.41)","90,9"
"OCULISTICA",,12.40.00,"RIMOZIONE DI LESIONE DEL SEGMENTO ANTERIORE DELL'OCCHIO, NAS","113,6"
"OCULISTICA",,12.41.00,"DEMOLIZIONE DI LESIONE DELL' IRIDE, NON ESCISSIONALE
Demolizione di lesione dell'iride per mezzo di:  cauterizzazione 
crioterapia 
fotocoagulazione 
laser","90,9"
"OCULISTICA",,13.12.00,"CICLOCRIOTERAPIA","90,9"
"OCULISTICA",,13.13.00,"CICLOFOTOCOAGULAZIONE","90,9"
"OCULISTICA","m1",13.31.00,"SVUOTAMENTO TERAPEUTICO DELLA CAMERA ANTERIORE
Paracentesi della camera anteriore","32,7"
"OCULISTICA",,14.04.00,"CAPSULOTOMIA YAG-LASER PER CATARATTA SECONDARIA
Separazione di membrana secondaria (dopo cataratta)","79,55"
"OCULISTICA","I ** ",14.10.01,"INSERZIONE DI CRISTALLINO ARTIFICIALE A SCOPO REFRATTIVO (in occhio fachico). 
Incluso: impianto di lenti, visite e prestazioni pre e post intervento. Non associabile a Biometria (95.13)",918
"OCULISTICA","I H",14.12.00,"IMPIANTO SECONDARIO DI CRISTALLINO ARTIFICIALE.
Incluso: impianto lenti, anestesia, visite e prestazioni pre e post intervento. Non associabile a Biometria (95.13)",918
"OCULISTICA","I H",13.08.00,"RIMOZIONE DI CRISTALLINO ARTIFICIALE IMPIANTATO  ARTIFICIALE",850
"OCULISTICA","I H m1",134101,"FACOEMULSIONAMENTO ED ASPIRAZIONE DI CATARATTA
La tariffa è comprensiva di visite ed esami pre e post intervento",920
"OCULISTICA",,14.22.00,"DEMOLIZIONE DI LESIONE CORIORETINICA MEDIANTE CRIOTERAPIA","56,8"
"OCULISTICA",,14.31.00,"RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE DIATERMIA","56,8"
"OCULISTICA",,14.32.00,"RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE CRIOTERAPIA","56,8"
"OCULISTICA",,14.33.00,"RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE FOTOCOAGULAZIONE  CON XENON (LASER)","56,8"
"OCULISTICA",,14.34.00,"RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE FOTOCOAGULAZIONE  CON ARGON (LASER)","56,8"
"OCULISTICA","m1",14.59.01,"PNEUMORETINOPESSIA","32,7"
"OCULISTICA","I H",15.15.00,"INIEZIONE INTRAVITREALE DI SOSTANZE TERAPEUTICHE. 
Incluso visita pre e post procedura. Escluso costo farmaco",290
"OCULISTICA","I ** H Rr",142901,"RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE TRATTAMENTO FOTODINAMICO CON VERTEPORFINA (VISUDYNE)",1450
"OCULISTICA",,16.22.00,"AGOBIOPSIA ORBITARIA","45,45"
"OCULISTICA","H",17.31.00,"INIEZIONE RETROBULBARE DI SOSTANZE TERAPEUTICHE
Escluso: Iniezione di sostanza per contrasto radiografico, Iniezione otticociliare","36,15"
"OTORINOLARINGOIATRIA","m1",18.02.00,"INCISIONE DEL CANALE UDITIVO ESTERNO E DEL PADIGLIONE AURICOLARE
Escluso: Rimozione di corpo estraneo intraluminale (98.11)","13,6"
"OTORINOLARINGOIATRIA","m1",18.12.00,"BIOPSIA DELL'ORECCHIO ESTERNO","15,35"
"OTORINOLARINGOIATRIA","m1",18.29.00,"ASPORTAZIONE O DEMOLIZIONE DI ALTRA LESIONE DELL'ORECCHIO ESTERNO
Cauterizzazione  
Coagulazione  
Criochirurgia  
Curettage  
Elettrocoagulazione  
Enucleazione  
Asportazione di: residuo (appendice) preauricolare, polipi, cistiEscluso: Biopsia dell'orecchio esterno (18.12), rimozione di cerume (96.52).","15,6"
"OTORINOLARINGOIATRIA","as",18.29.00,"Correzione di coloboma auricolare","15,6"
"OTORINOLARINGOIATRIA","m1",20.00.00,"MIRINGOTOMIA","23,85"
"OTORINOLARINGOIATRIA",,20.31.00,"ELETTROCOCLEOGRAFIA","54,25"
"OTORINOLARINGOIATRIA","m1",20.32.01,"BIOPSIA DELL'ORECCHIO MEDIO",26
"OTORINOLARINGOIATRIA","m1",20.39.01,"OTOEMISSIONI ACUSTICHE  SOAE, TEOAE, DPOAE","10,85"
"OTORINOLARINGOIATRIA","m1",20.08.00,"INTERVENTI SULLA TUBA DI EUSTACHIO
Cateterismo, Insufflazione (acido borico, acido salicilico), Intubazione, Politzerizzazione","13,9"
"OTORINOLARINGOIATRIA","m1",21.01.00,"CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE ANTERIORE","13,9"
"OTORINOLARINGOIATRIA","Hm1",21.02.00,"CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE POSTERIORE (E ANTERIORE)","24,5"
"OTORINOLARINGOIATRIA","m1",21.03.00,"CONTROLLO DI EPISTASSI MEDIANTE CAUTERIZZAZIONE (E TAMPONAMENTO)
(Cura completa)","17,85"
"OTORINOLARINGOIATRIA","m1",21.22.00,"BIOPSIA DEL NASO",26
"OTORINOLARINGOIATRIA","m1",21.31.00,"ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE INTRANASALE",26
"OTORINOLARINGOIATRIA","m1",22.11.00,"RIDUZIONE CHIUSA DI FRATTURA NASALE NON A CIELO APERTO
Incluso: Contenzione e sua rimozione",26
"OTORINOLARINGOIATRIA","m1",22.31.00,"LISI DI ADERENZE DEL NASO
Sinechia nasale",26
"OTORINOLARINGOIATRIA","m1",22.01.00,"PUNTURA DEI SENI NASALI PER ASPIRAZIONE O LAVAGGIO
Drenaggio mascellare per via diameatica",26
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1",23.11.00,"CHIUSURA DI FISTOLA OROANTRALE
Chiusura di fistola del seno nasale",64
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","as",23.11.00,"Cambio di sottodizione: chiusura di fistola oronasale",64
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.01.00,"ESTRAZIONE DI DENTE DECIDUO
 Incluso: Anestesia",21
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.09.00,"ESTRAZIONE DI DENTE PERMANENTE
Estrazione di altro dente NAS  
Incluso: Anestesia",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.11.00,"ESTRAZIONE DI RADICE RESIDUA
Incluso: Anestesia",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.19.00,"ALTRA ESTRAZIONE CHIRURGICA DI DENTE
Odontectomia NAS, rimozione di dente incluso, allacciamento di dente incluso, germectomia, estrazione dentale con elevazione di lembo muco-periostale  
Incluso: Anestesia",64
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.20.01,"RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE
Fino a due superfici  
Incluso: Otturazione carie, Otturazione carie con incappucciamento indiretto della polpa",48
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.20.02,"RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE
A tre o più superfici e/o applicazione di perno endocanalare  
Incluso: Otturazione carie, Otturazione carie con incappucciamento indiretto della polpa",72
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.03.00,"RICOSTRUZIONE DI DENTE MEDIANTE INTARSIO
Ricostruzione di dente fratturato",200
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.41.00,"APPLICAZIONE DI CORONA
Trattamento per applicazione di corona a giacca in resina",150
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.41.01,"APPLICAZIONE DI CORONA IN LEGA AUREA
Trattamento per applicazione di corona faccettata in lega aurea e resina o di corona 3/4 lega aurea o in lega aurea fusa",150
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.41.02,"ALTRA APPLICAZIONE DI CORONA
Trattamento per applicazione di corona a giacca in porcellana o di corona faccettata (Weneer) in lega aurea e porcellana",150
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.41.03,"APPLICAZIONE DI CORONA E PERNO
Trattamento per applicazione di corona a giacca in resina o oro resina con perno moncone in lega aurea",200
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.41.04,"ALTRA APPLICAZIONE DI CORONA E PERNO
Trattamento per applicazione di corona a giacca in porcellana o oro porcellana con perno moncone in lega aurea",200
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.43.01,"INSERZIONE DI PROTESI RIMOVIBILE
Trattamento per applicazione protesi rimovibile completa  
(Per arcata)",155
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.43.02,"ALTRA INSERZIONE DI PROTESI RIMOVIBILE
Trattamento per applicazione protesi rimovibile parziale  [protesi scheletrata in cromo-cobalto-molibdeno o oro]  
(Per arcata)  
Incluso: Eventuali attacchi di precisione",98
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.43.03,"INSERZIONE DI PROTESI PROVVISORIA
Rimovibile o fissa  
(Per elemento)",20
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.49.01,"ALTRA RIPARAZIONE DENTARIA
Molaggio selettivo dei denti  
(Per seduta)",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.05.00,"IMPIANTO DI DENTE
Reimpianto di elementi dentari lussati o avulsi",23
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",23.06.00,"IMPIANTO DI PROTESI DENTARIA
Impianto dentale endoosseo","128,29"
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",24.11.01,"TERAPIA CANALARE IN DENTE MONORADICOLATO
Trattamento o pulpotomia  
Escluso: Otturazione (23.20.1, 23.20.2)",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",24.11.02,"TERAPIA CANALARE IN DENTE PLURIRADICOLATO
Trattamento o pulpotomia  
Escluso: Otturazione (23.20.1, 23.20.2)",86
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",24.13.00,"APICECTOMIA  
Incluso: Otturazione retrograda",86
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","I **",232001,"INCAPPUCCIAMENTO DIRETTO DELLA POLPA E OTTURAZIONE PROVVISORIA",14
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","I **",232002,"RICOSTRUZIONE DI DENTE O RADICE CON USO DI PERNI ENDOCANALARI",64
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","I **",234201,"INSERZIONE DI PONTE FISSO         
Trattamento per applicazione di elemento fuso in lega aurea, oro resina o oro porcellana 
(Per elemento)",200
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","I **",234202,"INSERZIONE DI PONTE FISSO
Trattamento per applicazione di elemento di sovrastruttura per corona su impianti endoossei  
(Per elemento)",200
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","I **",237101,"APICIFICAZIONE (per seduta)
erogabile da un minimo di 4 sedute ad un massimo di 10 e non oltre i 12 anni di età",16
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",24.00.01,"GENGIVECTOMIA  
(Per gruppo di 4 denti)  
Incluso: Innesto libero o peduncolato",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1",24.11.00,"BIOPSIA DELLA GENGIVA",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1",24.12.00,"BIOPSIA DELL'ALVEOLO",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",24.20.01,"GENGIVOPLASTICA [CHIRURGIA PARODONTALE]             
Lembo di Widman modificato con levigatura radici e curettage tasche infraossee, applicazione di osso o membrane, osteoplastica  
(Per sestante)",100
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1",24.31.00,"ASPORTAZIONE DI LESIONE O TESSUTO DELLA GENGIVA  
Asportazione di epulidi  
Escluso: Biopsia della gengiva (24.11), Asportazione di lesione odontogena (24.4)",64
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",24.39.01,"LEVIGATURA DELLE RADICI  
Levigatura di radici e/o curettage delle tasche parodontali a cielo coperto  
(Per sestante)",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",24.39.02,"INTERVENTO CHIRURGICO PREPROTESICO  
(Per emiarcata)",43
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1",24.04.00,"ASPORTAZIONE DI LESIONE DENTARIA DELLA MANDIBOLA  
Asportazione di lesione odontogenica",64
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",25.10.01,"TRATTAMENTO ORTODONTICO CON APPARECCHI MOBILI  
(Per anno)",139
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",25.10.02,"TRATTAMENTO ORTODONTICO CON APPARECCHI FISSI  
(Per anno)",139
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",25.10.03,"TRATTAMENTO ORTODONTICO CON APPARECCHI ORTOPEDICO FUNZIONALI  
Incluso: Trattamento con placca di svincolo  
(Per anno)",139
"ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE","m1 **",25.20.01,"RIPARAZIONE DI APPARECCHIO ORTODONTICO",32
