"principio_attivo","principio_attivo_confezione","atc","id","farmaco","farmaco_confezione",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",28338046,"ESAVIR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",28425078,"NEVIRAN","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",33943010,"VORACLOR","""800 MG COMPRESSE"" 35 COMPRESSE",
"Aciclovir","35 UNITA' 800 MG - USO ORALE","J05AB01",25298124,"ZOVIRAX","35 COMPRESSE 800 MG",
"Aciclovir",4,"5 GRAMMI 3% - USO OFTALMICO UNGUENTO","S01AD03",28231025,"ACY",
"Aciclovir",4,"5 GRAMMI 3% - USO OFTALMICO UNGUENTO","S01AD03",25299049,"CYCLOVIRAN",
"Aciclovir",4,"5 GRAMMI 3% - USO OFTALMICO UNGUENTO","S01AD03",25298047,"ZOVIRAX",
"Aciclovir","5 UNITA' 250 MG - USO PARENTERALE","J05AB01",33672027,"ACICLOVIR RECORDATI","""250 MG POLVERE PER SOLUZIONE INIETTABILE""5 FIALE IV",
"Acido acetilsalicilico","30 UNITA' 100 MG - USO ORALE","B01AC06",42179010,"ACIDO ACETILSALICILICO DOC GENERICI","""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE GASTRORESISTENTI IN BLISTER PVC/AL",
"Acido acetilsalicilico","30 UNITA' 100 MG - USO ORALE","B01AC06",42180048,"ACIDO ACETILSALICILICO EG","""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL",
"Acido acetilsalicilico","30 UNITA' 100 MG - USO ORALE","B01AC06",42200016,"ACIDO ACETILSALICILICO SANDOZ","""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL",
"Acido acetilsalicilico","30 UNITA' 100 MG - USO ORALE","B01AC06",42207011,"ACIDO ACETILSALICILICO TEVA ITALIA","""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL",
"Acido acetilsalicilico","30 UNITA' 100 MG - USO ORALE","B01AC06",24840074,"CARDIOASPIRIN","""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",41256227,"ACIDO ALENDRONICO AUROBINDO","70 MG COMPRESSE 4 COMPRESSE IN BLISTER PVC/ACLAR/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37515018,"ACIDO ALENDRONICO FG","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37443013,"ACIDO ALENDRONICO GERMED","""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37514015,"ACIDO ALENDRONICO SIGMA TAU GENERICS","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",29053079,"ADRONAT","""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",38800025,"ALENDRONATO ACTAVIS","""70 MG COMPRESSE"" 4COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37499011,"ALENDRONATO ALMUS","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",38471025,"ALENDRONATO ALTER","""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37520018,"ALENDRONATO DOC GENERICI","""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37194089,"ALENDRONATO EG","""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37198013,"ALENDRONATO MYLAN GENERICS","""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVDC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37085089,"ALENDRONATO RATIOPHARM","""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37295021,"ALENDRONATO SANDOZ","""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",38408023,"ALENDRONATO SANDOZ GMBH","""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",29051075,"ALENDROS","""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37521010,"ALENIC","""70 MG COMPRESSE"" 4 COMPRESSE""",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37444015,"ASTON","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37644010,"DORYX","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",38031148,"DRALENOS","""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",29054071,"DRONAL","""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",29052077,"FOSAMAX","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",34172054,"GENALEN","""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37500016,"GLAMOR","""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",38296012,"LOSS","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",38649012,"NEADRALE","""70 MG COMPRESSE"" 4COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",38297014,"NOFRATTIL","""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37519016,"PORODRON","""70 MG COMPRESSE"" 4 COMPRESSE",
"Acido alendronico","4 UNITA' 70 MG - USO ORALE","M05BA04",37461011,"REALEN","""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE",
"Acido clodronico","10 UNITA' 400 MG - USO ORALE","M05BA02",26372058,"CLASTEON","10 CAPSULE 400 MG",
"Acido clodronico","10 UNITA' 400 MG - USO ORALE","M05BA02",34721050,"CLODRON","""400 MG CAPSULE RIGIDE"" 10 CAPSULE",
"Acido clodronico","10 UNITA' 400 MG - USO ORALE","M05BA02",26510053,"DIFOSFONAL","10 CAPSULE 400 MG",
"Acido clodronico","6 UNITA' 300 MG - USO PARENTERALE","M05BA02",26372033,"CLASTEON","6 FIALE 300 MG",
"Acido clodronico","6 UNITA' 300 MG - USO PARENTERALE","M05BA02",35129030,"CLODRONATO ABC","""300 MG/10 ML SOLUZIONE PER INFUSIONE ENDOVENOSA"" 6 FIALE",
"Acido clodronico","6 UNITA' 300 MG - USO PARENTERALE","M05BA02",34294037,"CLODY","""300 MG SOLUZIONE PER INFUSIONE ENDOVENOSA"" 6 FIALE",
"Acido clodronico","6 UNITA' 300 MG - USO PARENTERALE","M05BA02",26510038,"DIFOSFONAL","""300"" 6 FIALE 300 MG/10 ML",
"Acido folico","20 UNITA' 5 MG - USO ORALE","B03BB01",40274019,"ACIDO FOLICO DOC GENERICI","""5 MG COMPRESSE"" 20 COMPRESSE IN BLISTER PVC/AL",
"Acido folico","20 UNITA' 5 MG - USO ORALE","B03BB01",2309045,"FOLINA","""5 MG CAPSULE MOLLI"" 20 CAPSULE",
"Acido pipemidico","20 UNITA'  200 MG - USO ORALE","J01MB04",23869011,"UROTRACTIN","MITE 20 CAPSULE 200 MG",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",24497024,"ACIDO PIPEMIDICO","400 MG CAPSULE RIGIDE 20 CAPSULE",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",25032018,"ACIDO PIPEMIDICO DR.REDDY'S","20 CAPSULE 400 MG",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",25060029,"DIPERPEN","20 CAPSULE 400 MG",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",23921048,"PIPEMID","400 20 CAPSULE 400 MG",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",23609023,"PIPRAM","20 CAPSULE 400 MG",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",24590022,"PIPURIN","20 CAPSULE 400 MG",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",24482022,"UROPIMID","20 CAPSULE 400 MG",
"Acido pipemidico","20 UNITA'  400 MG - USO ORALE","J01MB04",23869023,"UROTRACTIN","20 CAPSULE 400 MG",
"Acido tranexamico","5 UNITA' 500 MG - USO PARENTERALE E ORALE","B02AA02",35748019,"ACIDO TRANEXAMICO BIOINDUSTRIA L.I.M.","""500 MG/5 ML SOLUZIONE ORALE INIETTABILE PER USO ENDOVENOSO"" 5 FIALE",
"Acido tranexamico","5 UNITA' 500 MG - USO PARENTERALE E ORALE","B02AA02",21458029,"UGUROL","""500 MG/5 ML SOLUZIONE INIETTABILE PER USO ENDOVENOSO, PER USO ORALE O LOCALE"" 5 FIALE",
"Acido tranexamico","6 UNITA' 500 MG - USO PARENTERALE E ORALE","B02AA02",22019032,"TRANEX","""500 MG/5ML SOLUZIONE INIETTABILE""  6 FIALE",
"Acido tranexamico","6 UNITA' 500 MG - USO PARENTERALE E ORALE","B02AA02",21458031,"UGUROL","""500 MG/5ML SOLUZIONE INIETTABILE PER USO ORALE E LOCALE"" 6 FIALE",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",33094018,"ACIDO URSODESOSSICOLICO MYLAN GENERICS","""150 MG COMPRESSE"" 20 COMPRESSE",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",28336016,"DESOXIL","20 COMPRESSE 150 MG",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",23605076,"DEURSIL","""150 MG CAPSULE RIGIDE"" 20 CAPSULE RIGIDE",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",24615078,"LITURSOL","20 COMPRESSE 150 MG",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",26893038,"URDES","20 COMPRESSE 150 MG",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",23630039,"URSACOL","20 COMPRESSE 150 MG",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",24444034,"URSOBIL","""150 MG CAPSULE RIGIDE"" 20 CAPSULE",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",26073015,"URSOFLOR","20 CAPSULE 150 MG",
"Acido ursodesossicolico","20 UNITA' 150 MG - USO ORALE","A05AA02",25430063,"URSOLISIN","20 CAPSULE 150 MG",
"Acido ursodesossicolico","20 UNITA' 225 MG - USO ORALE","A05AA02",23605153,"DEURSIL","""225 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 20 CAPSULE RIGIDE A RILASCIO PROLUNGATO",
"Acido ursodesossicolico","20 UNITA' 225 MG - USO ORALE","A05AA02",26893065,"URDES","""225 MG COMPRESSE GASTRORESISTENTI"" 20 COMPRESSE",
"Acido ursodesossicolico","20 UNITA' 225 MG - USO ORALE","A05AA02",24173066,"URSILON","""RETARD MITE""20 CAPSULE 225 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",28746016,"ACIDO URSODESOSSICOLICO","20 CAPSULE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",33090010,"ACIDO URSODESOSSICOLICO","""300 MG COMPRESSE"" 20 COMPRESSE",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",28366019,"ACIDO URSODESOSSICOLICO ACTAVIS","20 CAPSULE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",28931018,"ACIDO URSODESOSSICOLICO DOC GENERICI","""300 MG CAPSULE RIGIDE"" 20 CAPSULE",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",33512031,"ACIDO URSODESOSSICOLICO EG","""300 MG CAPSULE"" 20 CAPSULE",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",33094020,"ACIDO URSODESOSSICOLICO MYLAN GENERICS","""300 MG COMPRESSE"" 20 COMPRESSE",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",33564030,"ACIDO URSODESOSSICOLICO ZENTIVA","""300 MG CAPSULE RIGIDE"" 20 CAPSULE",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",28336028,"DESOXIL","20 COMPRESSE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",23605114,"DEURSIL","""300 MG CAPSULE RIGIDE"" 20 CAPSULE RIGIDE",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",27567039,"FRAURS","20 CAPSULE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",28404010,"LITOFF","20 COMPRESSE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",24615080,"LITURSOL","20 COMPRESSE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",26893040,"URDES","20 COMPRESSE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",23630066,"URSACOL","20 COMPRESSE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",24173080,"URSILON","20 CAPSULE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",24444123,"URSOBIL","""300 MG COMPRESSE"" 20 COMPRESSE",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",26073027,"URSOFLOR","20 CAPSULE 300 MG",
"Acido ursodesossicolico","20 UNITA' 300 MG - USO ORALE","A05AA02",25430101,"URSOLISIN","20 CAPSULE 300 MG",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",33090034,"ACIDO URSODESOSSICOLICO","""450 MG COMPRESSE A RILASCIO PROLUNGATO"" 20 COMPRESSE A RILASCIO PROLUNGATO",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",28931032,"ACIDO URSODESOSSICOLICO DOC GENERICI","""450 MG CAPSULE RIGIDE A RILASCIO MODIFICATO"" 20 CAPSULE",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",33512017,"ACIDO URSODESOSSICOLICO EG","""450 MG COMPRESSE A RILASCIO PROLUNGATO"" 20 COMPRESSE A RILASCIO PROLUNGATO",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",33564055,"ACIDO URSODESOSSICOLICO ZENTIVA","""450 MG CAPSULE RIGIDE ARILASCIO PROLUNGATO"" 20 CAPSULE",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",28336042,"DESOXIL","""RC"" 20 COMPRESSE 450 MG RIL. CONTR.",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",23605138,"DEURSIL","""450 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 20 CAPSULE RIGIDE A RILASCIO PROLUNGATO",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",28404022,"LITOFF","20 COMPRESSE RILASCIO CONTROLLATO 450 MG",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",24615092,"LITURSOL","""RETARD"" 20 CAPSULE 450 MG",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",26893053,"URDES","""450 MG COMPRESSE GASTRORESISTENTI 20 COMPRESSE",
"Acido ursodesossicolico","20 UNITA' 450 MG - USO ORALE","A05AA02",24173054,"URSILON","""RETARD"" 20 CAPSULE 450 MG",
